County,State,Popul,PopDen,PopChg%,Hispan%,Under5%,Age65-75%,Black%,Asian%,BirthRate,HSGrad,ColGrad,IncomeHH
Benton,WA,146634,83.7,2.9,12.5,7.6,5.5,0.9,2.2,15.0,83.9,23.3,46002
Chelan,WA,67133,22.8,0.8,19.3,7.1,6.9,0.3,0.7,16.5,74.3,16.7,33882
Clallam,WA,65759,37.1,1.9,3.4,5.1,11.0,0.8,1.1,10.2,79.7,16.1,34376
Clark,WA,360760,549.7,4.5,4.7,7.8,5.0,1.7,3.2,15.6,83.9,16.8,45890
Columbia,WA,4113,4.7,1.2,6.3,5.3,9.2,0.2,0.4,9.8,71.8,15.1,32009
Cowlitz,WA,93716,81.6,0.8,4.6,6.7,6.8,0.5,1.3,12.9,77.3,11.3,37189
Douglas,WA,32967,17.9,1.1,19.7,7.6,6.8,0.3,0.5,13.2,75.9,13.8,35999
Ferry,WA,7296,3.3,0.5,2.8,5.4,7.7,0.2,0.3,10.9,72.6,12.0,30427
Franklin,WA,51015,39.7,3.4,46.7,10.0,4.7,2.5,1.6,21.3,68.1,13.4,32276
Garfield,WA,2342,3.4,-2.3,2.0,4.6,10.0,0.0,0.7,5.2,81.8,13.7,32363
Grant,WA,76221,27.9,2.0,30.1,8.7,6.3,1.0,0.9,20.1,71.6,11.9,32405
Grays Harbor,WA,68331,35.1,1.7,4.8,6.2,8.0,0.3,1.2,12.5,74.0,11.0,31091
Island,WA,74114,344.0,3.6,4.0,6.7,7.7,2.4,4.2,13.4,88.3,20.0,41294
Jefferson,WA,26584,14.3,2.4,2.1,4.1,12.0,0.4,1.2,8.3,82.7,21.8,35373
King,WA,1741785,817.0,0.3,5.5,6.1,5.1,5.4,10.0,13.3,88.2,32.8,51300
Kitsap,WA,233372,585.8,0.6,4.1,6.7,5.4,2.9,4.4,14.0,86.6,19.8,43492
Kittitas,WA,33875,14.5,1.5,5.0,5.1,5.9,0.7,2.2,9.8,81.2,22.2,32375
Klickitat,WA,19339,10.2,0.9,7.8,6.4,7.5,0.3,0.7,12.5,70.4,10.9,33208
Lewis,WA,69273,28.5,1.0,5.4,6.4,7.9,0.4,0.7,13.0,75.4,11.8,32557
Lincoln,WA,10257,4.4,0.7,1.9,5.7,9.7,0.2,0.2,13.5,81.9,16.0,34888
Mason,WA,50425,51.4,2.1,4.8,5.4,9.5,1.2,1.1,10.5,79.2,13.6,35419
Okanogan,WA,39543,7.5,-0.1,14.4,6.3,7.8,0.3,0.4,13.7,71.3,12.0,27453
Pacific,WA,20844,22.5,-0.7,5.0,4.6,12.0,0.2,2.1,10.4,74.2,11.3,28131
Pend Oreille,WA,11965,8.4,2.0,2.1,5.4,8.9,0.1,0.6,11.0,74.8,12.0,29599
Pierce,WA,719407,417.4,2.7,5.5,7.1,5.4,7.0,5.1,14.7,83.2,17.5,41853
San Juan,WA,14515,80.4,3.1,2.4,3.7,10.0,0.3,0.9,9.3,91.2,33.5,41610
Skagit,WA,105247,59.4,2.2,11.2,6.5,7.3,0.4,1.5,13.8,81.0,16.3,38148
Skamania,WA,10027,6.0,1.6,4.0,6.4,6.4,0.3,0.5,9.1,77.4,11.7,38915
Snohomish,WA,622900,290.1,2.8,4.7,7.2,4.7,1.7,5.8,14.3,85.7,19.3,49439
Spokane,WA,423261,236.9,1.3,2.8,6.6,6.0,1.6,1.9,13.6,84.4,20.6,35691
Stevens,WA,40641,16.2,1.4,1.8,6.1,7.1,0.3,0.5,12.1,80.9,12.1,32387
Thurston,WA,213546,285.2,3.0,4.5,6.2,5.8,2.4,4.4,12.1,86.5,24.7,42360
Wahkiakum,WA,3787,14.5,-1.0,2.6,5.3,9.9,0.3,0.5,9.6,77.8,10.4,35446
Walla Walla,WA,55519,43.4,0.6,15.7,6.3,6.6,1.7,1.1,12.6,79.1,18.8,34471
Whatcom,WA,170849,78.7,2.4,5.2,6.1,5.9,0.7,2.8,12.6,83.2,22.0,37896
