Metropolitan Statistical Area,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
"Merced, CA M.S.A.",10.5,28.9,108.2,434.6,943.6,1987.8,383.2
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",6.6,23.6,198.5,380.4,929.0,2896.6,329.4
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",3.5,24.7,176.3,278.7,975.5,2599.4,265.1
"Miami-Miami Beach-Kendall, FL M.D.",8.9,21.3,236.1,467.0,915.7,3330.6,432.1
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",6.4,26.7,155.9,351.2,891.2,2459.0,217.3
"Michigan City-La Porte, IN M.S.A.",4.5,33.2,83.4,91.4,861.5,2742.2,208.0
"Midland, TX M.S.A.2",2.2,33.7,52.4,246.8,821.2,2203.4,136.1
"Milwaukee-Waukesha-West Allis, WI M.S.A.",6.4,17.9,208.3,231.5,560.1,2477.4,322.8
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.3",2.4,,92.3,152.8,501.6,2189.2,203.5
"Mobile, AL M.S.A.2,6",7.4,25.4,176.4,324.8,1265.5,3027.7,332.5
"Modesto, CA M.S.A.",5.6,26.1,148.5,337.1,1045.5,2281.2,696.3
"Monroe, LA M.S.A.",9.1,23.4,67.4,329.4,1595.4,3165.8,141.6
"Monroe, MI M.S.A.",1.3,56.6,57.9,162.5,642.1,1706.6,190.8
"Montgomery, AL M.S.A.",7.0,25.0,126.9,182.3,1112.4,2762.4,268.1
"Morristown, TN M.S.A.",4.3,23.8,68.5,287.5,858.2,2669.8,169.3
"Mount Vernon-Anacortes, WA M.S.A.",0.0,41.4,44.7,122.4,946.3,3809.2,177.8
"Muncie, IN M.S.A.",0.0,27.8,94.6,129.3,554.4,1852.4,212.6
"Muskegon-Norton Shores, MI M.S.A.",2.3,70.0,104.2,294.1,991.1,3026.4,146.5
"Myrtle Beach-North Myrtle Beach-Conway, SC M.S.A.",5.9,42.7,153.4,443.3,1330.8,3795.5,505.9
"Napa, CA M.S.A.",1.5,21.4,52.4,404.9,472.7,1449.9,160.0
"Naples-Marco Island, FL M.S.A.",3.4,16.6,62.7,231.0,368.3,1334.3,60.2
"Nashville-Davidson—Murfreesboro—Franklin, TN M.S.A.",6.2,41.0,138.9,457.0,846.7,2352.8,189.5
"New Haven-Milford, CT M.S.A.",5.0,15.4,154.6,245.7,526.6,2300.2,289.0
"New Orleans-Metairie-Kenner, LA M.S.A.1",20.8,25.6,134.8,285.3,753.7,2053.4,
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.",4.7,10.1,164.2,212.9,279.3,1300.6,139.1
"Edison-New Brunswick, NJ M.D.",1.7,8.0,59.8,86.5,348.6,1419.9,76.6
"Nassau-Suffolk, NY M.D.",2.8,5.1,67.7,88.1,262.2,1323.7,96.1
"Newark-Union, NJ-PA M.D.",6.9,13.7,193.8,175.1,429.7,1179.5,349.7
"New York-White Plains-Wayne, NY-NJ M.D.",5.4,11.1,203.5,276.0,241.9,1293.0,123.7
"North Port-Bradenton-Sarasota, FL M.S.A.",3.6,25.4,123.8,358.8,1007.0,2550.6,136.8
"Norwich-New London, CT M.S.A.",3.5,36.0,86.8,268.2,527.2,1775.1,104.5
"Ocala, FL M.S.A.",2.7,42.9,71.4,416.9,705.6,1669.9,93.4
"Ocean City, NJ M.S.A. ",2.1,17.7,63.5,170.7,1147.8,3505.9,80.1
"Odessa, TX M.S.A.",5.2,25.8,81.1,546.2,875.6,2493.5,185.0
"Ogden-Clearfield, UT M.S.A.",1.5,31.3,35.6,81.1,513.4,2346.2,145.5
"Oklahoma City, OK M.S.A.5",5.7,43.8,107.6,,1190.9,2643.5,374.2
"Olympia, WA M.S.A.",1.6,33.7,33.7,178.5,804.6,2217.7,167.9
"Omaha-Council Bluffs, NE-IA M.S.A.",4.5,38.8,97.0,246.3,583.0,2149.9,354.2
"Orlando-Kissimmee-Sanford, FL M.S.A.",4.8,33.0,144.1,431.8,1003.8,2348.0,242.7
